#FORMAT: BEACON
#PREFIX: http://d-nb.info/gnd/
#TARGET:https://ixtheo.de/Search/Results?lookfor={ID}
#NAME: INDEX THEOLOGICUS (IxTheo)
#MESSAGE: INDEX THEOLOGICUS: Publikationen im IxTheo
#DESCRIPTION: Die Datenbank "Index Theologicus" (IxTheo: https://ixtheo.de) ist eine internationale, open access Bibliographie für Theologie und Religionswissenschaft. Ausgewertet werden Monographien (Bücher) und Aufsätze aus mehr als 600 theologischen und religionswissenschaftlichen Zeitschriften sowie Aufsätze aus Sammelschriften (z.B. Festschriften und Kongressveröffentlichungen). Nachgewiesen werden auch einschlägige Datenbanken und Internetlinks. Statistik: mehr als 105.000 Personen-GND, ca. 1,7 Mio Titel (Stand Mai 2017).
#INSTITUTION: Universitätsbibliothek Tübingen
#CONTACT: ixtheo@ub.uni-tuebingen.de
#TIMESTAMP: 2017-05-29
117551848|4
116601825|5
126702985|3
133641848|104
121249301|38
117133116|1298
116578335|8
115448446|52
118988689|93
128992328|159
118572237|4
124491073|28
11907012X|42
119096552|73
113165451X|1
1131651529|2
1131649796|1
1131638670|1
1131575008|1
1125742119|1
1123513961|1
1089141181|1
1083815857|4
1082529877|3
1081161604|3
1079621393|3
1076943497|56
1072404737|1
1072172593|1
107022832X|2
1069936227|3
1068925140|1
1068924160|3
1068923296|1
1067756108|4
1067575871|9
1068926023|3
1069179051|3
1130810224|1
1100360409|4
1071005642|4
106039524X|3
1056574348|7
1055912363|5
1055056122|5
1055051538|17
1052665330|9
1052353002|5
1052102077|1
1050124111|5
1048478726|2
1048466582|5
1046211544|5
1042732477|1
1042619581|8
1041908970|6
1038668328|12
1037340728|8
1036419231|21
1032281294|13
1028424205|46
1063136474|11
101543567X|12
1015078443|1
123741025|1
1011397811|9
141940832|7
141915897|18
141706015|1
141451130|2
141115009|14
104594677X|10
121552810|42
118588893|17
13984709X|2
113181515|44
113294697|36
1034182595|11
13747959X|3
136521444|1
133841626|3
133565351|1
133351327|14
133158586|3
131955691|41
128732423|16
124051553|64
124042465|17
123009170|30
12231204X|97
117583111|12
117542814|457
117401110|827
117112240|6
116918136|10
116903651|2
116712961|1
116179899|5
116151420|309
115644520|7
111830478|52
136326358|52
1027952356|11
1072399571|7
1012540707|3
1030249555|12
118590871|174
12158125X|11
1053839243|10
1034565176|15
1072065908|4
13022085X|24
128580062|16
124692400|101
123006147|4
12418085X|30
120820897|20
120065851|511
116462744|374
119550318|1
119503271|28
119245493|15
119061589|124
118852647|2
118832158|532
11866686X|5
118650378|499
118622110|1270
118613510|55
118601261|143
118594001|164
105732759X|20
118593323|9
118587625|17
118558056|50
118553054|85
118547186|44
118532847|155
118528165|153
118520474|3
118515063|67
118504231|2
1075731631|2
1047477262|5
118502271|415
142314137|13
135577608|72
104624647X|31
119536986|49
140190090|10
131785478|19
121454096|2
121558487|44
136306519|5
12084768X|27
174162766|5
118555642|35
120372932|10
120312239|3
123604087|9
114844488|3
121420612|167
116776005|6
114404259|47
11475988X|25
111904749|23
116514477|6
122691024|65
1047170086|2
121216926|10
120920395|84
1055484388|17
122571584|44
1036157881|22
1035799006|49
123484286|132
1068733969|5
123456398|28
122489845|10
142646865|15
122533887|36
1043651160|83
114246866|3
130200387|11
1038769612|3
103494777X|27
118989251|19
1047955687|1
137009070|3
119173069|12
134232240|52
112388043|30
121007944|14
120890844|5
110764943|48
129525650|36
130043117|32
11857468X|61
13166624X|45
106116537X|35
118588567|1
1045721107|22
100954928|9
120840898|21
119304791|47
104905492|57
1109777361|12
128701951|17
115701966|632
118550667|3
124083390|1
118086251|11
118824104|50
1048369137|18
112620027|12
119387786|5
118513257|27
139016864|2
123883717|140
125007736|168
1069315087|21
133155498|1
118560239|142
118961772|54
129034703|46
118594745|74
121659933|19
1036158519|6
120679310|22
111186870|56
139819029|51
120622300|42
10993475X|56
109920740|22
1113893710|3
12003705X|114
132567342|11
113839944|94
11542489X|68
117308110|126
119017385|1
119348527|88
132358212|6
137022999|19
119219719|37
118618644|145
118617788|1
123516390|29
103347410X|53
119127180|13
122364104|48
121910695|63
1012938123|21
120643553|201
118596640|29
119254093|201
133653331|51
104265469|13
118591843|174
116023058|10
117189871|48
119501473|748
116942088|762
118735179|330
118583158|510
117173363|6
119371448|39
123037417|155
118820893|569
118579304|22
115851704|7
119500884|140
117004685|31
116986735|64
118727699|13
118570684|15
116301643|41
118564501|2
118713485|6
115417486|34
118777378|5
118900064|418
118640003|252
117148199|11
118557394|55
122981200|91
118557254|78
13319874X|19
118555979|54
120326264|23
118639897|106
115802649|5
107461803|6
118826182|139
118551477|678
118550691|19
118550292|15
120983524|33
1029810524|10
132144344|1
117505226|5
11870169X|34
118720414|72
119118556|3
120031795|104
118981048|193
121160688|21
174081928|55
130546046|8
118695215|161
107385465|14
1054303843|4
115729305|7
118682555|53
118529803|230
118826433|354
142986313|1
119041960|35
12011965X|12
118518534|503
1069171905|4
118722433|90
118661884|154
119497972|79
118816187|36
118509810|257
115444599|109
118509276|63
116109688|184
